,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,ori,region_desc,region_name,state_abbr,state_name
0,Hawaii Police Department County Sheriff's Office,County,HAWAII,Pacific,19.716698,-155.08688,0.0,HI0010000,Region IV,West,HI,Hawaii
1,Maui Police Department County Sheriff's Office,County,MAUI,Pacific,20.887321,-156.48763,0.0,HI0050000,Region IV,West,HI,Hawaii
2,Honolulu Police Department,City,HONOLULU,Pacific,21.304317,-157.85077,0.0,HI0020000,Region IV,West,HI,Hawaii
3,Kauai Police Department County Sheriff's Office,County,KAUAI,Pacific,22.012038,-159.705965,0.0,HI0040000,Region IV,West,HI,Hawaii
4,Milford Police Department,City,KENT; SUSSEX,South Atlantic,38.91612,-75.42161,1.0,DE0030500,Region III,South,DE,Delaware
5,Laurel Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0030300,Region III,South,DE,Delaware
6,Dover Fire Marshal,Other,KENT,South Atlantic,,,1.0,DE0011900,Region III,South,DE,Delaware
7,Bridgeville Police Department,City,SUSSEX,South Atlantic,38.744175,-75.599144,1.0,DE0030100,Region III,South,DE,Delaware
8,Dewey Beach Police Department,City,SUSSEX,South Atlantic,38.709568,-75.078224,1.0,DE0032400,Region III,South,DE,Delaware
9,Blades Police Department,City,SUSSEX,South Atlantic,38.633743,-75.6098,1.0,DE0030900,Region III,South,DE,Delaware
10,Environmental Control,Other State Agency,KENT,South Atlantic,39.164383,-75.51842,1.0,DE0011700,Region III,South,DE,Delaware
11,State Police: Kent County,State Police,KENT,South Atlantic,39.097088,-75.502982,1.0,DE301SP00,Region III,South,DE,Delaware
12,Rehoboth Beach Police Department,City,SUSSEX,South Atlantic,38.715996,-75.08348,1.0,DE0030700,Region III,South,DE,Delaware
13,Elsmere Police Department,City,NEW CASTLE,South Atlantic,39.739624,-75.60179,1.0,DE0020700,Region III,South,DE,Delaware
14,Delaware City Police Department,City,NEW CASTLE,South Atlantic,39.57391,-75.59376,1.0,DE0020900,Region III,South,DE,Delaware
15,Delaware State University,University or College,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0013200,Region III,South,DE,Delaware
16,River and Bay Authority,Other State Agency,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0020100,Region III,South,DE,Delaware
17,New Castle County Police Department,County,NEW CASTLE,South Atlantic,39.707096,-75.56667,1.0,DE0020300,Region III,South,DE,Delaware
18,Wilmington Fire Department,Other,NEW CASTLE,South Atlantic,39.73873,-75.548965,0.0,DE0022600,Region III,South,DE,Delaware
19,Newark Police Department,City,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0020500,Region III,South,DE,Delaware
20,South Bethany Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031800,Region III,South,DE,Delaware
21,Frederica Police Department,City,KENT,South Atlantic,39.097088,-75.502982,0.0,DE0010800,Region III,South,DE,Delaware
22,State Police,State Police,,South Atlantic,39.156284,-75.486595,1.0,DEDSP0000,Region III,South,DE,Delaware
23,Bethany Beach Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031000,Region III,South,DE,Delaware
24,Amtrak Police,Other,NEW CASTLE,South Atlantic,,,1.0,DE002159E,Region III,South,DE,Delaware
25,Harrington Police Department,City,KENT,South Atlantic,38.924095,-75.57957,1.0,DE0010200,Region III,South,DE,Delaware
26,Fenwick Island Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031200,Region III,South,DE,Delaware
27,Greenwood Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031400,Region III,South,DE,Delaware
28,Park Rangers,Other State Agency,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0012300,Region III,South,DE,Delaware
29,Clayton Police Department,City,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0010600,Region III,South,DE,Delaware
30,Animal Welfare:,Other State Agency,KENT,South Atlantic,,,1.0,DE001500X,Region III,South,DE,Delaware
31,Selbyville Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031600,Region III,South,DE,Delaware
32,Camden Police Department,City,KENT,South Atlantic,39.11345,-75.54225,1.0,DE0010400,Region III,South,DE,Delaware
33,Alcohol and Tobacco Enforcement,Other State Agency,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0021600,Region III,South,DE,Delaware
34,Lewes Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0030400,Region III,South,DE,Delaware
35,Delmar Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0030200,Region III,South,DE,Delaware
36,Attorney General: Sussex County,Other State Agency,SUSSEX,South Atlantic,38.690628,-75.385086,0.0,DE003350X,Region III,South,DE,Delaware
37,Annimal Welfare:,Other State Agency,SUSSEX,South Atlantic,,,1.0,DE003500X,Region III,South,DE,Delaware
38,Viola Police Department,City,KENT,South Atlantic,,,0.0,DE0013300,Region III,South,DE,Delaware
39,State Capitol Police,Other State Agency,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0011800,Region III,South,DE,Delaware
40,Seaford Police Department,City,SUSSEX,South Atlantic,38.65286,-75.61424,1.0,DE0030800,Region III,South,DE,Delaware
41,Milton Police Department,City,SUSSEX,South Atlantic,38.77769,-75.31031,1.0,DE0030600,Region III,South,DE,Delaware
42,Newport Police Department,City,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0020800,Region III,South,DE,Delaware
43,Wyoming Police Department,City,KENT,South Atlantic,39.118744,-75.55912,1.0,DE0013100,Region III,South,DE,Delaware
44,Middletown Police Department,City,NEW CASTLE,South Atlantic,39.44838,-75.71802,1.0,DE0020200,Region III,South,DE,Delaware
45,New Castle Police Department,City,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0020400,Region III,South,DE,Delaware
46,Wilmington Police Department,City,NEW CASTLE,South Atlantic,39.73873,-75.548965,1.0,DE0020600,Region III,South,DE,Delaware
47,Animal Welfare:,Other State Agency,NEW CASTLE,South Atlantic,,,1.0,DE002500X,Region III,South,DE,Delaware
48,Ocean View Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031700,Region III,South,DE,Delaware
49,Frankford Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031900,Region III,South,DE,Delaware
50,Kenton Police Department,City,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0010900,Region III,South,DE,Delaware
51,State Police: Sussex County,State Police,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE303SP00,Region III,South,DE,Delaware
52,Cheswold Police Department,City,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0012600,Region III,South,DE,Delaware
53,Smyrna Police Department,City,NEW CASTLE; KENT,South Atlantic,39.300205,-75.61435,1.0,DE0010300,Region III,South,DE,Delaware
54,Attorney General: Kent County,Other State Agency,KENT,South Atlantic,39.154705,-75.52337,0.0,DE001300X,Region III,South,DE,Delaware
55,Dagsboro Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031100,Region III,South,DE,Delaware
56,Dover Police Department,City,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0010100,Region III,South,DE,Delaware
57,Georgetown Police Department,City,SUSSEX,South Atlantic,38.694782,-75.3895,1.0,DE0031300,Region III,South,DE,Delaware
58,Fish and Wildlife,Other State Agency,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0012200,Region III,South,DE,Delaware
59,Felton Police Department,City,KENT,South Atlantic,39.01094,-75.57476,1.0,DE0010700,Region III,South,DE,Delaware
60,Millsboro Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031500,Region III,South,DE,Delaware
61,State Fire Marshal,Other State Agency,KENT,South Atlantic,39.168213,-75.588066,1.0,DE0012000,Region III,South,DE,Delaware
62,Attorney General: New Castle County,Other State Agency,NEW CASTLE,South Atlantic,39.742977,-75.547295,1.0,DE0029Z0X,Region III,South,DE,Delaware
63,Ellendale Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0033000,Region III,South,DE,Delaware
64,State Police: New Castle County,State Police,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE302SP00,Region III,South,DE,Delaware
65,University of Delaware,University or College,NEW CASTLE,South Atlantic,39.67637,-75.75021,1.0,DE0021700,Region III,South,DE,Delaware
66,Puerto Rico ,Other,,U.S. Territories,,,0.0,PRPPR0000,U.S. Territories,U.S. Territories,PR,Puerto Rico
67,Washington County Sheriff's Office,County,WASHINGTON,West South Central,30.17912,-96.388176,0.0,TX2390000,Region III,South,TX,Texas
