,agency_name,ori
0,Hawaii Police Department County Sheriff's Office,HI0010000
1,Maui Police Department County Sheriff's Office,HI0050000
2,Honolulu Police Department,HI0020000
3,Kauai Police Department County Sheriff's Office,HI0040000
4,Milford Police Department,DE0030500
5,Laurel Police Department,DE0030300
6,Dover Fire Marshal,DE0011900
7,Bridgeville Police Department,DE0030100
8,Dewey Beach Police Department,DE0032400
9,Blades Police Department,DE0030900
10,Environmental Control,DE0011700
11,State Police: Kent County,DE301SP00
12,Rehoboth Beach Police Department,DE0030700
13,Elsmere Police Department,DE0020700
14,Delaware City Police Department,DE0020900
15,Delaware State University,DE0013200
16,River and Bay Authority,DE0020100
17,New Castle County Police Department,DE0020300
18,Wilmington Fire Department,DE0022600
19,Newark Police Department,DE0020500
20,South Bethany Police Department,DE0031800
21,Frederica Police Department,DE0010800
22,State Police,DEDSP0000
23,Bethany Beach Police Department,DE0031000
24,Amtrak Police,DE002159E
25,Harrington Police Department,DE0010200
26,Fenwick Island Police Department,DE0031200
27,Greenwood Police Department,DE0031400
28,Park Rangers,DE0012300
29,Clayton Police Department,DE0010600
30,Animal Welfare:,DE001500X
31,Selbyville Police Department,DE0031600
32,Camden Police Department,DE0010400
33,Alcohol and Tobacco Enforcement,DE0021600
34,Lewes Police Department,DE0030400
35,Delmar Police Department,DE0030200
36,Attorney General: Sussex County,DE003350X
37,Annimal Welfare:,DE003500X
38,Viola Police Department,DE0013300
39,State Capitol Police,DE0011800
40,Seaford Police Department,DE0030800
41,Milton Police Department,DE0030600
42,Newport Police Department,DE0020800
43,Wyoming Police Department,DE0013100
44,Middletown Police Department,DE0020200
45,New Castle Police Department,DE0020400
46,Wilmington Police Department,DE0020600
47,Animal Welfare:,DE002500X
48,Ocean View Police Department,DE0031700
49,Frankford Police Department,DE0031900
50,Kenton Police Department,DE0010900
51,State Police: Sussex County,DE303SP00
52,Cheswold Police Department,DE0012600
53,Smyrna Police Department,DE0010300
54,Attorney General: Kent County,DE001300X
55,Dagsboro Police Department,DE0031100
56,Dover Police Department,DE0010100
57,Georgetown Police Department,DE0031300
58,Fish and Wildlife,DE0012200
59,Felton Police Department,DE0010700
60,Millsboro Police Department,DE0031500
61,State Fire Marshal,DE0012000
62,Attorney General: New Castle County,DE0029Z0X
63,Ellendale Police Department,DE0033000
64,State Police: New Castle County,DE302SP00
65,University of Delaware,DE0021700
66,Puerto Rico ,PRPPR0000
67,Washington County Sheriff's Office,TX2390000
68,Alvin Community College,TX0201700
69,Edwards County Sheriff's Office,TX0690000
70,Seabrook Police Department,TX1011700
71,Milam County Sheriff's Office,TX1660000
72,Marion County Sheriff's Office,TX1580000
73,Wilson County Sheriff's Office,TX2470000
74,Double Oak Police Department,TX0612500
75,Dickinson Police Department,TX0840200
76,Independent School District: Spring Branch,TX1017000
77,Surfside Beach Police Department,TX0202800
78,Point Comfort Police Department,TX0290100
79,Odessa Police Department,TX0680200
80,Columbus Police Department,TX0450100
81,Nassau Bay Police Department,TX1012800
82,Georgetown Police Department,TX2460200
